Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,"Electricity production from oil, gas and coal sources (% of total)",51.88991342,51.79230046,51.08761409,48.66407519,51.09569532,46.8163817,52.00576451,51.71389948,47.66669699,47.78691047,59.07958171,57.99614211,55.19454473,54.2538627,59.47464166,54.64265012,50.980984,50.41447354,50.40416889,,,,,,
Burkina Faso,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,99.77678571,99.80353635,95.87912088,93.57798165,94.84662577,93.87966805,94.23240034,95.44235925,95.61403509,94.62875197,94.5,92.9245283,62.34309623,42.06974128,38.86348792,53.58198772,,,,,,
Cameroon,"Electricity production from oil, gas and coal sources (% of total)",1.150895141,1.641414141,1.244075829,1.091954023,1.89212087,3.575757576,4.234527687,4.622871046,5.794205794,11.18292205,25.17642571,24.1506777,29.32733875,26.78420071,24.70866408,24.63492063,24.66424682,24.67490247,23.88280556,,,,,,
Canada,"Electricity production from oil, gas and coal sources (% of total)",22.59327057,26.2051566,25.47254057,26.77378979,28.95418631,27.54117886,28.37185476,26.47679061,25.12698945,24.41301416,24.82123285,23.31950129,22.04200805,23.08000583,22.54393216,21.42461097,20.76934062,20.76312543,21.06717953,,,,,,
Cayman Islands,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Chad,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Electricity production from oil, gas and coal sources (% of total)",37.86527315,51.82911375,61.96926283,51.45216827,45.73840258,44.54901422,49.84304598,53.09912514,46.11691182,44.74511931,55.84440001,54.25097146,51.01281249,59.61213886,60.40357311,63.55464438,64.10867036,57.18637342,56.39566504,,,,,,
China,"Electricity production from oil, gas and coal sources (% of total)",81.2182187,80.7311349,82.11289858,82.12597124,79.86169679,80.86235706,82.69464165,81.48633403,81.70185078,82.49361295,82.84347871,80.28994703,80.24837277,79.40102506,81.1740028,77.85989297,77.42446658,74.82288737,72.96207597,,,,,,
Colombia,"Electricity production from oil, gas and coal sources (% of total)",28.35556552,30.25369178,20.13918079,24.47536232,25.66180194,23.49584832,21.211405,18.34912207,19.83034348,19.39923742,18.46660872,15.98913082,27.12208438,27.87930802,16.53471027,20.4498059,26.00132454,25.96168932,31.76318878,,,,,,
Comoros,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.","Electricity production from oil, gas and coal sources (% of total)",0.376759865,0.401861252,0.45231813,0.050150451,0.083864475,0.131147541,0.113876688,0.113234253,0.094928126,0.609836935,1.103780766,1.284938402,1.094983448,1.087919039,1.114065072,0.118234367,0.108985226,0.124434389,0.178930888,,,,,,
"Congo, Rep.","Electricity production from oil, gas and coal sources (% of total)",0.441501104,0.581395349,14.41441441,0.337837838,0,0,14.28571429,16.87657431,18.01385681,17.8807947,17.69041769,18.65509761,38.7755102,45.28061224,38.82443929,41.94117647,43.18314804,45.28735632,46.65513264,,,,,,
Costa Rica,"Electricity production from oil, gas and coal sources (% of total)",3.047585101,8.14705339,2.152800259,0.852724382,1.482579689,1.621262458,2.106534281,0.803408399,3.280871671,6.128550075,7.977900552,7.145872915,4.844253491,6.688928311,8.777461351,8.158049931,11.68539326,10.20847607,0.998890122,,,,,,
Cote d'Ivoire,"Electricity production from oil, gas and coal sources (% of total)",53.38625651,65.76330184,63.587295,63.25,63.15250768,67.34038534,63.98663259,66.33393829,72.76887872,71.31741821,66.04510744,65.24137931,62.4765798,71.71835708,69.86391212,73.5604333,78.11764706,76.06806662,83.27402135,,,,,,
Croatia,"Electricity production from oil, gas and coal sources (% of total)",42.81527791,47.34590536,43.46921476,42.69732753,43.77104377,53.94726486,58.62644027,45.07447651,45.92938654,48.56457479,62.19210841,54.29152648,43.99401645,37.15869154,52.96157951,50.32568677,33.49824335,26.04197678,33.17316248,,,,,,
Cuba,"Electricity production from oil, gas and coal sources (% of total)",77.97257175,75.1342946,73.22660778,65.75971261,64.93888489,41.66507421,39.26628716,41.38416272,49.46551949,58.89853664,55.07830232,58.48181458,52.02999887,52.57228258,56.03603604,56.43585848,58.72518286,60.3635237,60.50867508,,,,,,
Curacao,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,99.9771533,99.97850387,99.938411,99.70466627,99.40556088,98.62833521,96.38871982,94.55162179,92.37762238,92.71264368,91.21994264,,,,,,
Czechia,"Electricity production from oil, gas and coal sources (% of total)",77.12910911,76.53967566,75.50616437,78.22002167,76.65355497,71.38890716,66.48232226,65.30134861,65.98601262,64.64723743,66.28230254,63.63047002,60.95648765,60.13222056,58.88033558,55.55504286,53.26830062,53.40086491,55.91531907,,,,,,
Denmark,"Electricity production from oil, gas and coal sources (% of total)",82.40324946,80.69710311,77.69013361,72.51823704,74.12600387,74.56410517,80.55471355,74.80957563,70.6781438,78.02065291,71.76721945,70.09230937,70.16463733,66.09541454,57.53782395,49.29481124,51.98169415,41.84998757,31.89967872,,,,,,
Djibouti,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,"Electricity production from oil, gas and coal sources (% of total)",90.14648977,88.7503569,85.7548932,90.85221637,92.54081075,91.12891687,87.90574824,83.48449868,82.20767629,84.61804117,85.86934807,88.39214646,86.95343555,88.1111922,87.91038292,85.52341118,83.4303116,86.66062734,88.36755702,,,,,,
Ecuador,"Electricity production from oil, gas and coal sources (% of total)",36.94267516,40.25711662,30.37446643,28.29815303,36.00904977,36.70087483,37.80530054,42.42659624,44.88362919,48.30550622,43.45834351,38.85847903,49.15181216,54.50817571,44.44119938,45.13065173,51.00812519,50.82486527,47.19705768,,,,,,
"Egypt, Arab Rep.","Electricity production from oil, gas and coal sources (% of total)",79.48415143,80.58952451,78.56339879,82.29655887,81.56744555,85.35373921,85.93551369,87.00184602,87.85904867,88.26674292,86.94067722,88.09905372,89.93093525,89.95204229,90.67316367,91.12058702,91.11811961,91.12909221,91.74071449,,,,,,
El Salvador,"Electricity production from oil, gas and coal sources (% of total)",46.59788065,46.56953642,35.80347448,41.93070773,45.81531417,48.61412389,42.74412297,45.35761884,41.75824176,42.61715296,43.79624849,37.48324397,43.69820442,34.95989305,37.07052441,39.76270643,39.5567602,40.30210509,42.1773251,,,,,,
Equatorial Guinea,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
